Song Name,Book,Page Number,Pages
502-Blues,1,153,1
500-Miles-High,,,
42nd-Street,,,
52nd-Street-Theme,2,93,1
12th-Street-Rag-20220715-214535,,,
26-2,,,
9-20-Special,,,
About-A-Quarter-To-Nine,,,
Ace-in-the-Hole,,,
Across-The-Alley-From-The-Alamo,,,
Ac-Cent-Tchu-Ate-The-Positive,,,
Ac-Dc-Current,,,
Adagio,,,
Adams-Apple,,,
Africa,,,
African-Queen,,,
Afro-Blue,1,9,1
Afro-Centric,,,
Afternoon-In-Paris,1,10,1
After-You-ve-Gone,,,
Agua-de-Beber,,,
Agua-de-Beber,,,
Ah-Leu-Cha,,,
Ah-Leu-Cha-duo,,,
Aint-Nobodys-Bizness-If-I-Do,,,
Ain-t-Misbehavin,,,
Aint-She-Sweet,,,
Airegin-1,1,11,1
Airmail-Special,2,3,1
Aisha,,,
Alcoholic-Blues,,,
Alexanders-Ragtime-Band,,,
Alfie,,,
Alfies-Theme,2,4,1
Alice-In-Wonderland,1,12,1
All-About-Ronnie,,,
All-Blues,1,13,1
All-Gods-Chillun-Got-Rhythm,2,6,1
All-My-Tomorrows,1,15,1
All-Of-Me,1,16,1
All-Of-You,1,17,1
All-Or-Nothing-At-All,,,
All-The-Things-You-Are-20220715-214738,1,18,1
All-Too-Soon,,,
Almost-like-being-in-love,,,
Alone-Together,1,19,1
Along-Came-Betty,,,
Always-And-Forever,,,
Always-On-My-Mind,,,
Amapola,,,
Amazing-Grace,,,
Among-My-Souvenirs,,,
Am-I-Blue,,,
Ana-Maria,1,20,2
And-On-The-Third-Day,1,23,1
Angelica-Purple-Gazelle,,,
Angel-Eyes,1,24,1
Answer-Me-My-Love,,,
Anthropology,1,25,1
Anything-Goes,,,
Any-Time,,,
An-Old-Water-Mill,,,
Apple-Core,,,
April-In-Paris,1,26,1
Aquarela-do-Brasil,,,
Are-You-Real,,,
Armandos-Rhumba,,,
As-Long-as-I-Live,,,
As-Time-Goes-By,1,31,1
At-the-Georgia-Camp-Meeting,,,
At-The-Jazz-Band-Ball,,,
Autumn-in-NY,1,33,1
Autumn-Leaves,1,36,1
Au-Privave,1,32,1
Avalon,2,13,1
A-Bientot,,,
A-Chicken-Aint-Nothing-But-A-Bird,,,
A-Felicidade,,,
A-Fine-Romance,1,3,1
A-Foggy-Day,1,6,1
A-Lot-of-Livin-to-Do,,,
A-Night-in-Tunisia,1,7,1
A-Smooth-One,,,
A-Song-for-Nicholas,,,
A-Sound-For-Sore-Ears,,,
A-Sunbonnet-Blue,,,
A-Time-For-Love,,,
A-Tisket-A-Tasket,,,
Baby-What-You-Want-Me-To-Do,,,
Baby-wont-you-please-come-home,,,
Badinerie,,,
Barbados,2,17,1
Basin-Street-Blues,2,19,1
Beale-Street-Blues,,,
Beautiful-Friendship,,,
Beautiful-Love,1,39,1
Bebop,2,21,1
Bei-Mir-Bist-Du-Shoen,,,
Bernies-Tune,,,
Besame-Mucho,,,
Between-The-Devil-And-The-Deep-Blue-Sea,,,
Bewitched,1,43,1
Beyond-the-Sea-La-Mer,,,
Bidin-My-Time,,,
Billies-bounce,2,24,1
Bill-Bailey,,,
Bird-Alone,,,
Birth-of-the-Blues,2,25,1
Bittersweet,,,
Black-and-Blue,,,
Black-Orheus,1,49,1
Blame-It-on-My-Youth,,,
Bloomdido,2,29,1
Blueberry-Hill,,,
Bluesette-1,1,56,1
Blues-For-Dixie,,,
Blues-March,,,
Blues-My-Naughty-Sweetie-Gives-To-Me,,,
Blue-Bossa,,,
Blue-Drug,,,
Blue-Monk,1,54,1
Blue-Moon,2,31,1
Blue-Room,1,55,1
Blue-Skies,,,
Bluff,,,
Body-And-Soul-20220717-102403,1,58,1
Bohemia-After-Dark,2,406,1
Bop-Be,,,
Bourbone-Street-Parade,,,
Brain-Cloudy-Blues,,,
Brazil-Aquarela-do-Brasil,,,
Brigas-Nunca-Mais,,,
Buddy-Bolden-Blues,,,
But-Beautiful,1,67,1
But-Not-For-Me,2,50,1
Bye-Bye-Blackbird,2,51,1
Bye-Bye-Blues,,,
By-a-Waterfall,,,
Cabaret,,,
Call-Me-Irresponsible,,,
Candy,,,
Can-Can,,,
